troop_id,troop_name,rarity,troop_type,max_troops,range,attack,defense,speed,movement,plain_adapt,hill_adapt,forest_adapt,siege_adapt,counter_type,countered_by,counter_multiplier,skill_3,skill_4,description
troop_san_1703,豫州天兵,rare,infantry,400,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1704,豫州神射,rare,archer,400,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1705,黑山轻骑,rare,cavalry,400,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1706,黑山劫匪,epic,infantry,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1707,黑山猎手,epic,archer,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1708,南阳精锐,epic,infantry,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1709,南阳突骑,epic,cavalry,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1710,地公枪卫,legendary,infantry,800,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1711,人公箭卫,legendary,archer,800,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1712,天公亲卫,legendary,cavalry,800,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,张角亲卫骑兵
troop_san_1001,五斗米道,rare,infantry,400,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,宗教武装，政道合一
troop_san_1002,五斗游侠,rare,archer,400,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,
troop_san_1003,羌族劫匪,epic,infantry,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,羌胡
troop_san_1004,羌族猎手,epic,archer,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,羌胡
troop_san_1005,湟中义从,epic,cavalry,600,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,北宫伯玉、韩遂、马腾、董卓凉州羌胡精锐骑兵 扰乱凉州的胡人突骑
troop_san_1006,凉州铁骑,legendary,cavalry,800,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,马腾 马超
troop_san_1007,柳氏卫队,epic,archer,200,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,柳氏（韩遂夫人）
troop_san_1008,王氏卫队,epic,archer,200,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,王氏（马腾正妻）
troop_san_1009,北军枪卫(S1),core,infantry,999,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,冀州 天下无双技能
troop_san_1010,北军铁骑(S1),core,cavalry,999,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,冀州 天下无双技能
troop_san_1011,御林铁卫(S1),core,infantry,999,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,司隶 天下无双技能
troop_san_1012,白马义从(S1),core,cavalry,999,4,60,80,7,2,1.0,1.1,0.9,0.6,infantry,cavalry,,,,幽州 天下无双技能，王牌轻骑，白马为号，威震蛮夷
,,,,,,,,,,,,,,,,,,,

