troop_id,troop_name,rarity,troop_type,max_troops,range,attack,defense,speed,movement,infantry_counter,cavalry_counter,archer_counter,siege_counter,plain_adapt,hill_adapt,forest_adapt,siege_adapt,skill_3,skill_4,description
troop_san_1501,并州部曲,common,infantry,150,1,31,24,5,3,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1502,并州轻弓,common,archer,150,3,35,22,4,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1503,飞熊兵,rare,cavalry,300,1,84,39,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,董家飞熊，中坚轻骑
troop_san_1504,泰山兵,epic,infantry,450,1,92,79,4,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,泰山豪杰，彪悍耐战
troop_san_1505,白波兵,epic,archer,450,3,99,69,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,黄巾残魂，精锐余部
troop_san_1506,陷阵营,legendary,infantry,600,2,133,111,6,4,1.00,1.00,1.10,1.00,1.0,1.0,1.0,1.1,,,高顺陷阵，以一当十
troop_san_1507,并州铁骑,legendary,cavalry,600,1,151,92,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,并州精骑，骁勇善战
troop_san_1508,貂蝉卫队,epic,cavalry,300,1,144,72,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1601,司隶部曲,common,infantry,150,1,31,24,2,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1602,司隶轻弓,common,archer,150,3,33,24,3,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1603,司隶轻骑,rare,cavalry,300,1,72,44,6,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1604,三辅强弓,epic,archer,450,3,107,67,4,4,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1605,三辅义从,epic,cavalry,450,1,101,70,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1606,京畿铁卫,legendary,infantry,600,1,133,116,6,3,1.00,1.00,1.10,1.00,1.0,1.0,1.0,1.1,,,京畿重甲，皇室铁卫
troop_san_1607,京畿重弩,legendary,archer,600,4,152,80,6,4,1.00,1.40,1.10,0.80,1.0,1.0,1.1,1.2,,精致维护,京畿重弩，高价高质
troop_san_1608,文姬卫队,epic,cavalry,300,1,139,74,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1701,青州天兵,common,infantry,150,1,28,22,4,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1702,青州神射,common,archer,150,3,30,18,4,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1703,豫州天兵,rare,infantry,300,1,56,46,4,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1704,豫州神射,rare,archer,300,3,66,44,4,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,
troop_san_1705,黑山轻骑,rare,cavalry,300,1,70,39,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,
troop_san_1706,黑山劫匪,epic,infantry,450,1,88,66,6,5,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1707,黑山猎手,epic,archer,450,3,94,64,5,4,0.90,1.20,1.00,0.90,1.0,0.9,1.2,0.9,,,
troop_san_1708,南阳精锐,epic,infantry,450,1,99,69,6,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1709,南阳突骑,epic,cavalry,450,1,104,66,5,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,无视地形,
troop_san_1710,地公枪卫,legendary,infantry,600,2,122,108,6,4,1.00,1.10,1.00,1.00,1.0,1.0,1.0,1.1,,,地公将军，精锐枪卫
troop_san_1711,人公侠卫,legendary,archer,600,4,144,84,7,4,0.90,1.30,1.00,0.90,1.0,0.9,1.2,0.9,,,人公将军，精锐侠卫
troop_san_1712,天公近卫,legendary,cavalry,600,1,149,91,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,天公将军，精锐近卫
troop_san_17x1,轻装民兵,common,infantry,999,1,12,14,3,2,0.90,0.90,0.90,1.00,1.0,1.0,1.0,1.1,,,
troop_san_17x2,轻装枪兵,common,infantry,999,2,16,10,3,2,0.90,1.00,0.80,1.00,1.0,1.0,1.0,1.1,,,
troop_san_17x3,流民(男),common,infantry,999,1,4,8,2,2,0.80,0.80,0.70,1.00,1.0,1.0,1.0,1.1,,,
troop_san_17x4,流民(女),common,infantry,999,1,2,4,2,2,0.80,0.80,0.70,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1001,武装近卫,rare,infantry,300,1,64,52,5,4,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,东汉豪杰，义勇近卫
troop_san_1002,武装游侠,rare,archer,300,3,70,45,4,3,0.90,1.30,1.00,0.90,1.0,0.9,1.2,0.9,,,东汉豪杰，义勇游侠
troop_san_1003,羌族劫匪,epic,infantry,450,1,86,68,6,5,1.00,0.90,1.10,1.00,1.0,1.0,1.0,1.1,,,
troop_san_1004,羌族猎手,epic,archer,450,4,88,56,6,3,0.90,1.20,1.00,0.90,1.0,0.9,1.2,0.9,,,
troop_san_1005,湟中义从,epic,cavalry,450,1,108,60,6,4,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,凉州羌胡，精锐骑兵
troop_san_1006,凉州铁骑,legendary,cavalry,600,1,150,99,6,5,1.10,1.00,1.20,1.10,1.2,0.9,0.8,0.9,,,凉州精骑，骁勇善战
troop_san_1007,柳氏卫队,epic,archer,300,3,122,80,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,韩遂正室，柳氏卫队
troop_san_1008,王氏卫队,epic,archer,300,3,108,88,5,3,0.90,1.20,1.00,0.90,1.0,0.9,1.1,0.9,,,马腾正室，王氏卫队
troop_san_1009,北军枪卫(S1),core,infantry,999,2,199,169,6,4,1.00,1.40,1.00,1.20,1.0,1.1,1.1,1.2,,天下无双,冀州北军，枪术无双
troop_san_1010,北军铁骑(S1),core,cavalry,999,1,255,166,6,6,1.20,1.20,1.20,1.20,1.2,1.0,0.9,1.0,,天下无双,冀州北军，无畏铁骑
troop_san_1011,御林铁卫(S1),core,infantry,999,1,220,199,4,4,1.20,1.00,1.40,1.00,1.2,1.1,1.1,1.0,,天下无双,司隶支柱，刀枪不入
troop_san_1012,白马义从(S1),core,cavalry,999,1,240,155,7,7,1.20,1.00,1.40,1.20,1.4,0.9,0.9,0.9,,天下无双,幽州白马，神出鬼没
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,

